"ncharacters","pattern_len","time_elapsed"
"763116","5","0.046"
"763116","15","0.069"
"763116","25","0.095"
"763116","35","0.122"
"763116","45","0.135"
"763116","55","0.147"
"763116","65","0.16"
"763116","75","0.172"
"763116","85","0.184"
"763116","95","0.195"
"763116","105","0.206"
"763116","115","0.22"
"763116","125","0.233"
"763116","135","0.241"
"763116","145","0.249"
"763116","155","0.258"
"763116","165","0.269"
"763116","175","0.276"
"763116","185","0.283"
"763116","195","0.291"
"763116","205","0.3"
"763116","215","0.307"
"763116","225","0.315"
"763116","235","0.323"
"763116","245","0.331"
"763116","255","0.338"
"763116","265","0.345"
"763116","275","0.352"
"763116","285","0.359"
"763116","295","0.366"
"763116","305","0.374"
"763116","315","0.382"
"763116","325","0.39"
"763116","335","0.397"
"763116","345","0.407"
"763116","355","0.414"
"763116","365","0.421"
"763116","375","0.428"
"763116","385","0.436"
"763116","395","0.443"
"763116","405","0.45"
"763116","415","0.457"
"763116","425","0.464"
"763116","435","0.471"
"763116","445","0.478"
"763116","455","0.486"
"763116","465","0.494"
"763116","475","0.501"
"763116","485","0.509"
"763116","495","0.517"
"763116","505","0.525"
"763116","515","0.532"
"763116","525","0.54"
"763116","535","0.548"
"763116","545","0.556"
"763116","555","0.563"
"763116","565","0.57"
"763116","575","0.578"
"763116","585","0.586"
"763116","595","0.594"
"763116","605","0.601"
"763116","615","0.609"
"763116","625","0.616"
"763116","635","0.624"
"763116","645","0.633"
"763116","655","0.641"
"763116","665","0.648"
"763116","675","0.656"
"763116","685","0.663"
"763116","695","0.67"
"763116","705","0.678"
"763116","715","0.686"
"763116","725","0.694"
"763116","735","0.701"
"763116","745","0.708"
"763116","755","0.716"
"763116","765","0.723"
"763116","775","0.731"
"763116","785","0.739"
"763116","795","0.747"
"763116","805","0.755"
"763116","815","0.762"
"763116","825","0.77"
"763116","835","0.777"
"763116","845","0.785"
"763116","855","0.793"
"763116","865","0.801"
"763116","875","0.808"
"763116","885","0.814"
"763116","895","0.822"
"763116","905","0.83"
"763116","915","0.837"
"763116","925","0.845"
"763116","935","0.853"
"763116","945","0.861"
"763116","955","0.869"
"763116","965","0.877"
"763116","975","0.884"
"763116","985","0.892"
"763116","995","0.899"
